company,rank,rank_change,revenue,profit,num. of employees,sector,city,state,newcomer,ceo_founder,ceo_woman,profitable,prev_rank,CEO,Website,Ticker,Market Cap
General Electric,33,-12,95214,-4979,205000,Industrials,Boston,MA,no,no,no,no,21,H. Lawrence Culp Jr.,https://www.ge.com,GE,53132
Dell Technologies,34,0,92154,4616,165000,Technology,Round Rock,TX,no,yes,no,yes,34,Michael S. Dell,https://www.delltechnologies.com,DELL,57773
Johnson & Johnson,35,2,82059,15119,132200,Health Care,New Brunswick,NJ,no,no,no,yes,37,Alex Gorsky,https://www.jnj.com,JNJ,427473
State Farm Insurance,36,0,79395.3,5592.7,57672,Financials,Bloomington,IL,no,no,no,yes,36,Michael L. Tipsord,https://www.statefarm.com,,
Target,37,2,78112,3281,368000,Retailing,Minneapolis,MN,no,no,no,yes,39,Brian C. Cornell,https://corporate.target.com,TGT,94296
IBM,38,0,77147,9431,383800,Technology,Armonk,NY,no,no,no,yes,38,Arvind Krishna,https://www.ibm.com,IBM,115909
Raytheon Technologies,39,7,77046,5537,243200,Aerospace & Defense,Waltham,MA,no,no,no,yes,46,Gregory J. Hayes,https://www.rtx.com,RTX,104549
Boeing,40,-12,76559,-636,161100,Aerospace & Defense,Chicago,IL,no,no,no,no,28,David L. Calhoun,https://www.boeing.com,BA,89183
Freddie Mac,41,-1,75125,7214,6892,Financials,McLean,VA,no,no,no,yes,40,Michael T. Hutchins,https://www.freddiemac.com,FMCC,6404
Centene,42,9,74639,1321,56600,Health Care,St. Louis,MO,no,no,no,yes,51,Michael F. Neidorff,https://www.centene.com,CNC,36191
UPS,43,-2,74094,4440,377640,Transportation,Atlanta,GA,no,no,yes,yes,41,Carol B. Tomé,https://www.ups.com,UPS,138166
Lowe&#8217;s,44,-2,72148,4281,260000,Retailing,Mooresville,NC,no,no,no,yes,42,Marvin R. Ellison,https://www.lowes.com,LOW,126315
Intel,45,-2,71965,21048,110800,Technology,Santa Clara,CA,no,no,no,yes,43,Patrick P. Gelsinger,https://www.intel.com,INTC,202996
Facebook,46,11,70697,18485,44942,Technology,Menlo Park,CA,no,yes,no,yes,57,Mark Zuckerberg,https://investor.fb.com,FB,768185
FedEx,47,0,69693,540,389500,Transportation,Memphis,TN,no,yes,no,yes,47,Frederick W. Smith,https://www.fedex.com,FDX,66788
MetLife,48,-4,69620,5899,49000,Financials,New York,NY,no,no,no,yes,44,Michel A. Khalaf,https://www.metlife.com,MET,46483
Walt Disney,49,4,69570,11054,223000,Media,Burbank,CA,no,no,no,yes,53,Robert A. Chapek,https://www.thewaltdisneycompany.com,DIS,315029
Procter & Gamble,50,-5,67684,3897,97000,Household Products,Cincinnati,OH,no,no,no,yes,45,David S. Taylor,https://www.pginvestor.com,PG,324875
PepsiCo,51,-3,67161,7314,267000,"Food, Beverages & Tobacco",Purchase,NY,no,no,no,yes,48,Ramon L. Laguarta,https://www.pepsico.com,PEP,195312
Humana,52,4,64888,2707,46000,Health Care,Louisville,KY,no,no,no,yes,56,Bruce D. Broussard,https://www.humana.com,HUM,54438
Prudential Financial (U.S.),53,-3,64807,4186,51511,Financials,Newark,NJ,no,no,no,yes,50,Charles F. Lowrey,https://www.prudential.com,PRU,33268
Archer Daniels Midland,54,-5,64656,1379,38100,"Food, Beverages & Tobacco",Chicago,IL,no,no,no,yes,49,Juan R. Luciano,https://www.adm.com,ADM,29767
Albertsons,55,-3,60534.5,131.1,267000,Food & Drug Stores,Boise,ID,no,no,no,yes,52,Vivek Sankaran,https://www.albertsonscompanies.com,ACI,7118
Sysco,56,-2,60113.9,1674.3,69000,Wholesalers,Houston,TX,no,no,no,yes,54,Kevin P. Hourican,https://www.sysco.com,SYY,26828
Lockheed Martin,57,3,59812,6230,110000,Aerospace & Defense,Bethesda,MD,no,no,no,yes,60,James D. Taiclet Jr.,https://www.lockheedmartin.com,LMT,95594
HP,58,-3,58756,3152,56000,Technology,Palo Alto,CA,no,no,no,yes,55,Enrique J. Lores,https://www8.hp.com,HPQ,32499
Energy Transfer,59,0,54213,3592,12812,Energy,Dallas,TX,no,no,no,yes,59,Mackie McCrea/Tom Long,https://www.energytransfer.com,ET,17648
Goldman Sachs Group,60,2,53922,8466,38300,Financials,New York,NY,no,no,no,yes,62,David M. Solomon,https://www.goldmansachs.com,GS,104183
Morgan Stanley,61,2,53823,9042,60431,Financials,New York,NY,no,no,no,yes,63,James P. Gorman,https://www.morganstanley.com,MS,135401
Caterpillar,62,-4,53800,6093,102300,Industrials,Deerfield,IL,no,no,no,yes,58,D. James Umpleby III,https://www.caterpillar.com,CAT,104491
Cisco Systems,63,1,51904,11621,75900,Technology,San Jose,CA,no,no,no,yes,64,Charles H. Robbins,https://www.cisco.com,CSCO,191585
Pfizer,64,-3,51750,16273,88300,Health Care,New York,NY,no,no,no,yes,61,Albert Bourla,https://www.pfizer.com,PFE,202882
HCA Healthcare,65,2,51336,3505,245000,Health Care,Nashville,TN,no,no,no,yes,67,Samuel N. Hazen,https://www.hcahealthcare.com,HCA,56831
American International Group,66,0,49746,3348,46000,Financials,New York,NY,no,no,no,yes,66,Peter S. Zaffino,https://www.aig.com,AIG,27682
American Express,67,5,47020,6759,64500,Financials,New York,NY,no,no,no,yes,72,Stephen J. Squeri,https://www.americanexpress.com,AXP,103823
Delta Air Lines,68,1,47007,4767,91224,Transportation,Atlanta,GA,no,no,no,yes,69,Edward H. Bastian,https://www.delta.com,DAL,26543
Merck,69,7,46840,9843,71000,Health Care,Kenilworth,NJ,no,no,no,yes,76,Kenneth C. Frazier,https://www.merck.com,MRK,208627
American Airlines Group,70,-2,45768,1686,133700,Transportation,Fort Worth,TX,no,no,no,yes,68,W. Douglas Parker,https://www.aa.com,AAL,5655
Charter Communications,71,-1,45764,1668,95100,Telecommunications,Stamford,CT,no,no,no,yes,70,Thomas M. Rutledge,https://www.charter.com,CHTR,137205
Allstate,72,10,44675,4847,46035,Financials,Northbrook,IL,no,no,no,yes,82,Thomas J. Wilson,https://www.allstate.com,ALL,33752
New York Life Insurance,73,-2,44116.6,1003.8,11519,Financials,New York,NY,no,no,no,yes,71,Theodore A. Mathas,https://www.newyorklife.com,,-
Nationwide,74,-1,43982,829.7,28114,Financials,Columbus,OH,no,no,no,yes,73,Kirt A. Walker,https://www.nationwide.com,,
Best Buy,75,-1,43638,1541,125000,Retailing,Richfield,MN,no,no,yes,yes,74,Corie Barry,https://investors.bestbuy.com/investor-relations/overview/default.aspx,BBY,29062
United Airlines Holdings,76,2,43259,3009,96000,Transportation,Chicago,IL,no,no,no,yes,78,J. Scott Kirby,https://www.united.com,UAL,9114
Liberty Mutual Insurance Group,77,-2,43228,1044,45000,Financials,Boston,MA,no,no,no,yes,75,David H. Long,https://www.libertymutual.com,,
Dow,78,0,42951,-1359,36500,Chemicals,Midland,MI,yes,no,no,no, ,James R. Fitterling,https://www.dow.com,DOW,30430
Tyson Foods,79,1,42405,2022,141000,"Food, Beverages & Tobacco",Springdale,AR,no,no,no,yes,80,Dean Banks,https://www.tysonfoods.com,TSN,24169
TJX,80,5,41717,3272.2,286000,Retailing,Framingham,MA,no,no,no,yes,85,Ernie L. Herrman,https://www.tjx.com,TJX,81992
TIAA,81,-2,40454.4,2460.1,16533,Financials,New York,NY,no,no,no,yes,79,Roger W. Ferguson Jr.,https://www.tiaa-cref.org,,-
Oracle,82,-1,39506,11083,136000,Technology,Redwood City,CA,no,no,yes,yes,81,Safra A. Catz,https://www.oracle.com,ORCL,170158
General Dynamics,83,9,39350,3484,102900,Aerospace & Defense,Reston,VA,no,no,yes,yes,92,Phebe N. Novakovic,https://www.gd.com,GD,44203
Deere,84,3,39258,3253,73489,Industrials,Moline,IL,no,no,no,yes,87,John C. May,https://www.deere.com,DE,94622
Nike,85,5,39117,4029,76700,Apparel,Beaverton,OR,no,no,no,yes,90,John J. Donahoe II,https://www.nike.com,NKE,225123
Progressive,86,13,39022.3,3970.3,41571,Financials,Mayfield Village,OH,no,no,yes,yes,99,Susan Patricia Griffith,https://www.progressive.com,PGR,56224
Publix Super Markets,87,4,38462.8,3005.4,207000,Food & Drug Stores,Lakeland,FL,no,no,no,yes,91,Randall T. Jones Sr.,https://www.publix.com,,-
Coca-Cola,88,12,37266,8920,86200,"Food, Beverages & Tobacco",Atlanta,GA,no,no,no,yes,100,James R. Quincey,https://www.coca-colacompany.com,KO,209200
Massachusetts Mutual Life,89,-5,37253.4,3700.7,9896,Financials,Springfield,MA,no,no,no,yes,84,Roger W. Crandall,https://www.massmutual.com,,-
Tech Data,90,-2,36998.4,374.5,15000,Wholesalers,Clearwater,FL,no,no,no,yes,88,Richard T. Hume,https://www.techdata.com,TECD,-
World Fuel Services,91,-8,36819,178.9,5500,Energy,Miami,FL,no,no,no,yes,83,Michael J. Kasbar,https://www.wfscorp.com,INT,1489
Honeywell International,92,-15,36709,6143,113000,Industrials,Charlotte,NC,no,no,no,yes,77,Darius E. Adamczyk,https://www.honeywell.com,HON,146007
ConocoPhillips,93,-7,36670,7189,10400,Energy,Houston,TX,no,no,no,yes,86,Ryan M. Lance,https://www.conocophillips.com,COP,61446
USAA,94,7,35617.4,4006.3,35076,Financials,San Antonio,TX,no,no,no,yes,101,Wayne Peacock,https://www.usaa.com,,-
Exelon,95,-2,34438,2936,32713,Energy,Chicago,IL,no,no,no,yes,93,Christopher M. Crane,https://www.exeloncorp.com,EXC,41928
Northrop Grumman,96,12,33841,2248,90000,Aerospace & Defense,Falls Church,VA,no,no,yes,yes,108,Kathy J. Warden,https://www.northropgrumman.com,NOC,49812
Capital One Financial,97,1,33766,5546,51900,Financials,McLean,VA,no,yes,no,yes,98,Richard D. Fairbank,https://www.capitalone.com,COF,50946
Plains GP Holdings,98,-4,33669,331,5000,Energy,Houston,TX,no,no,no,yes,94,Wilfred C.W. Chiang,https://www.plainsallamerican.com,PAGP,1463
AbbVie,99,-3,33266,7882,30000,Health Care,North Chicago,IL,no,no,no,yes,96,Richard A. Gonzalez,https://www.abbvie.com,ABBV,198828
StoneX Group,100,12,32897,85.1,2012,Financials,New York,NY,no,no,no,yes,112,Sean O'Connor,https://www.stonex.com,SNEX,988
Enterprise Products Partners,101,-12,32789.2,4591.3,7300,Energy,Houston,TX,no,no,no,yes,89,A. James Teague /W. Randall Fowler,https://www.enterpriseproducts.com,EPD,38472
Northwestern Mutual,102,9,32293.6,1268,5964,Financials,Milwaukee,WI,no,no,no,yes,111,John E. Schlifske,https://www.northwesternmutual.com,,-
3M,103,-8,32136,4570,96163,Chemicals,St. Paul,MN,no,no,no,yes,95,Michael F. Roman,https://www.3m.com,MMM,98187
Abbott Laboratories,104,-1,31904,3687,107000,Health Care,Abbott Park,IL,no,no,no,yes,103,Robert B. Ford,https://www.abbott.com,ABT,200082
CHS,105,-8,31900.5,829.9,10703,"Food, Beverages & Tobacco",Inver Grove Heights,MN,no,no,no,yes,97,Jay D. Debertin,https://www.chsinc.com,,
Travelers Cos.,106,0,31581,2622,30800,Financials,New York,NY,no,no,no,yes,106,Alan D. Schnitzer,https://www.travelers.com,TRV,36735
Philip Morris International,107,3,29805,7185,73500,"Food, Beverages & Tobacco",New York,NY,no,no,no,yes,110,André Calantzopoulos,https://www.pmi.com,PM,119615
Raytheon,108,6,29176,3343,70000,Aerospace & Defense,Waltham,MA,no,no,no,yes,114,Roy A. Azevedo/Wesley D. Kramer,https://www.rtx.com,,36517.5
Hewlett Packard Enterprise,109,-7,29135,1049,61600,Technology,San Jose,CA,no,no,no,yes,102,Antonio F. Neri,https://www.hpe.com,HPE,15962
Arrow Electronics,110,-1,28916.8,-204.1,19300,Wholesalers,Centennial,CO,no,no,no,no,109,Michael J. Long,https://www.arrow.com,ARW,8075
ViacomCBS,111,106,27812,3308,26280,Media,New York,NY,no,no,no,yes,217,Robert M. Bakish,https://www.viacbs.com,VIAC,16130
Dollar General,112,7,27754,1712.6,143000,Retailing,Goodlettsville,TN,no,no,no,yes,119,Todd J. Vasos,https://www.dollargeneral.com,DG,47928
U.S. Bancorp,113,4,27325,6914,69651,Financials,Minneapolis,MN,no,no,no,yes,117,Andrew J. Cecere,https://www.usbank.com,USB,68690
Starbucks,114,7,26508.6,3599.2,346000,"Hotels, Restaurants & Leisure",Seattle,WA,no,no,no,yes,121,Kevin R. Johnson,https://www.starbucks.com,SBUX,123779
Bristol-Myers Squibb,115,23,26145,3439,30000,Health Care,New York,NY,no,no,no,yes,138,Giovanni Caforio,https://www.bms.com,BMY,149709
US Foods Holding,116,9,25939,385,28000,Wholesalers,Rosemont,IL,no,no,no,yes,125,Pietro Satriano,https://www.usfoods.com,USFD,4472
Mondelez International,117,-1,25868,3870,80000,"Food, Beverages & Tobacco",Deerfield,IL,no,no,no,yes,116,Dirk Van de Put,https://www.mondelezinternational.com,MDLZ,81663
Paccar,118,12,25599.7,2387.9,27000,Industrials,Bellevue,WA,no,no,no,yes,130,R. Preston Feight,https://www.paccar.com,PCAR,30969
Thermo Fisher Scientific,119,5,25542,3696,75000,Technology,Waltham,MA,no,no,no,yes,124,Marc N. Casper,https://www.thermofisher.com,TMO,204446
Macy&#8217;s,120,-2,25331,564,123000,Retailing,New York,NY,no,no,no,yes,118,Jeffrey Gennette,https://www.macysinc.com,M,1520.4
Jabil,121,19,25282.3,287.1,200000,Technology,St. Petersburg,FL,no,no,no,yes,140,Mark T. Mondello,https://www.jabil.com,JBL,3738.4
Kraft Heinz,122,-7,24977,1935,37000,"Food, Beverages & Tobacco",Chicago,IL,no,no,no,yes,115,Miguel Patricio,https://www.kraftheinzcompany.com,KHC,30226.3
Duke Energy,123,3,24658,3748,28793,Energy,Charlotte,NC,no,no,yes,yes,126,Lynn J. Good,https://www.duke-energy.com,DUK,66815
Tesla,124,20,24578,-862,48016,Motor Vehicles & Parts,Palo Alto,CA,no,yes,no,no,144,Elon Musk,https://www.tesla.com,TSLA,806143
PBF Energy,125,-12,24508.2,319.4,3442,Energy,Parsippany,NJ,no,no,no,yes,113,Thomas J. Nimbley,https://www.pbfenergy.com,PBF,848.1
Qualcomm,126,11,24273,4386,37000,Technology,San Diego,CA,no,no,no,yes,137,Steven M. Mollenkopf,https://www.qualcomm.com,QCOM,186163
NGL Energy Partners,127,52,24087.8,360,1300,Energy,Tulsa,OK,no,no,no,yes,179,H. Michael Krimbill,https://www.nglenergypartners.com,NGL,333.7
CBRE Group,128,18,23894.1,1282.4,100000,Financials,Los Angeles,CA,no,no,no,yes,146,Robert E. Sulentic,https://www.cbre.com,CBRE,21772
Baker Hughes,129,0,23838,128,68000,Energy,Houston,TX,yes,no,no,yes, ,Lorenzo Simonelli,https://www.bakerhughes.com,BKR,10827.3
Synnex,130,28,23757.3,500.7,240900,Wholesalers,Fremont,CA,no,no,no,yes,158,Dennis Polk,https://www.synnexcorp.com,SNX,4629
Dollar Tree,131,4,23610.8,827,125000,Retailing,Chesapeake,VA,no,no,no,yes,135,Michael A. Witynski,https://www.dollartree.com,DLTR,17398.5
Cummins,132,-4,23571,2260,61615,Industrials,Columbus,IN,no,no,no,yes,128,N. Thomas Linebarger,https://www.cumminseurope.com/,CMI,35008
United Natural Foods,133,177,23481.1,-285,19000,Wholesalers,Providence,RI,no,no,no,no,310,Steven L. Spinner,https://www.unfi.com,UNFI,492.2
Micron Technology,134,-29,23406,6313,37000,Technology,Boise,ID,no,no,no,yes,105,Sanjay Mehrotra,https://www.micron.com,MU,46778.5
Amgen,135,-6,23362,7842,23400,Health Care,Thousand Oaks,CA,no,no,no,yes,129,Robert A. Bradway,https://www.amgen.com,AMGN,119571.5
Penske Automotive Group,136,0,23179.4,435.8,26980,Retailing,Bloomfield Hills,MI,no,no,no,yes,136,Roger S. Penske,https://www.penskeautomotive.com,PAG,5287
Visa,137,16,22977,12080,19500,Business Services,San Francisco,CA,no,no,no,yes,153,Alfred F. Kelly Jr.,https://usa.visa.com,V,496377
Broadcom,138,12,22597,2724,19000,Technology,San Jose,CA,no,no,no,yes,150,Hock E. Tan,https://www.broadcom.com,AVGO,94790.5
Nucor,139,-19,22588.9,1271.1,26800,Materials,Charlotte,NC,no,no,no,yes,120,Leon J. Topalian,https://www.nucor.com,NUE,16836
Gilead Sciences,140,-1,22449,5386,11800,Health Care,Foster City,CA,no,no,no,yes,139,Daniel P. O'Day,https://www.gilead.com,GILD,94124
Southwest Airlines,141,1,22428,2300,60767,Transportation,Dallas,TX,no,no,no,yes,142,Gary C. Kelly,https://www.southwest.com,LUV,28467
Halliburton,142,-15,22408,-1131,55000,Energy,Houston,TX,no,no,no,no,127,Jeffrey A. Miller,https://www.halliburton.com,HAL,6027.4
Lumen Technologies,143,-11,22401,-5269,42500,Telecommunications,Monroe,LA,no,no,no,no,132,Jeffrey K. Storey,https://www.lumen.com,LUMN,10307.1
International Paper,144,-11,22376,1225,51000,Materials,Memphis,TN,no,no,no,yes,133,Mark S. Sutton,https://www.internationalpaper.com,IP,20044
Eli Lilly,145,-22,22319.5,8318.4,33625,Health Care,Indianapolis,IN,no,no,no,yes,123,David A. Ricks,https://www.lilly.com,LLY,132760.4
Aflac,146,-3,22307,3304,11729,Financials,Columbus,GA,no,no,no,yes,143,Daniel P. Amos,https://www.aflac.com,AFL,33058
Lennar,147,7,22259.6,1849.1,10106,Engineering & Construction,Miami,FL,no,no,no,yes,154,Richard Beckwitt/Jon M. Jaffe,https://www.lennar.com,LEN,25222
Occidental Petroleum,148,19,21971,-667,14400,Energy,Houston,TX,no,no,yes,no,167,Vicki A. Hollub,https://www.oxy.com,OXY,21437
Union Pacific,149,-15,21708,5919,37483,Transportation,Omaha,NE,no,no,no,yes,134,Lance M. Fritz,https://www.up.com,UNP,147025
Rite Aid,150,-43,21674.4,-422.2,42645,Food & Drug Stores,Camp Hill,PA,no,no,yes,no,107,Heyward Donigan,https://www.riteaid.com,RAD,822.3
PNC Financial Services Group,151,8,21624,5369,50968,Financials,Pittsburgh,PA,no,no,no,yes,159,William S. Demchak,https://www.pnc.com,PNC,66208
DuPont,152,-117,21512,498,35000,Chemicals,Wilmington,DE,no,no,no,yes,35,Edward D. Breen,https://www.dupont.com,DD,25213.1
Southern Company,153,-22,21419,4739,27943,Energy,Atlanta,GA,no,no,no,yes,131,Thomas A. Fanning,https://www.southerncompany.com,SO,64062
AutoNation,154,-9,21335.7,450,25000,Retailing,Fort Lauderdale,FL,no,no,no,yes,145,Michael J. Jackson,https://www.autonation.com,AN,6807
DXC Technology,155,-33,21184,1257,130000,Technology,Tysons,VA,no,no,no,yes,122,Michael J. Salvino,https://www.dxc.technology,DXC,3311.1
McDonald&#8217;s,156,-7,21076.5,6025.4,205000,"Hotels, Restaurants & Leisure",Chicago,IL,no,no,no,yes,149,Christopher J. Kempczinski,https://corporate.mcdonalds.com,MCD,159179
Marriott International,157,-6,20972,1273,174000,"Hotels, Restaurants & Leisure",Bethesda,MD,no,no,no,yes,151,Anthony Capuano,https://www.marriott.com,MAR,41103
ManpowerGroup,158,-17,20863.5,465.7,28000,Business Services,Milwaukee,WI,no,no,no,yes,141,Jonas Prising,https://www.manpowergroup.com,MAN,3109.4
Bank of New York Mellon,159,4,20822,4441,48400,Financials,New York,NY,no,no,no,yes,163,Thomas P. Gibbons,https://www.bnymellon.com,BK,29808.5
Hartford Financial Services Group,160,1,20740,2085,19500,Financials,Hartford,CT,no,no,no,yes,161,Christopher J. Swift,https://www.thehartford.com,HIG,12624.8
Danaher,161,-1,20521.2,3008.2,60000,Health Care,Washington,DC,no,no,no,yes,160,Rainer M. Blair,https://www.danaher.com,DHR,168395
Whirlpool,162,-14,20419,1184,77000,Industrials,Benton Harbor,MI,no,no,no,yes,148,Marc R. Bitzer,https://www.whirlpoolcorp.com,WHR,12242
AECOM,163,-6,20173.3,-261.1,86000,Engineering & Construction,Los Angeles,CA,no,no,no,no,157,W. Troy Rudd,https://www.aecom.com,ACM,8085
Netflix,164,33,20156.4,1866.9,8600,Media,Los Gatos,CA,no,yes,no,yes,197,Reed Hastings/Ted Sarandos,https://www.netflix.com,NFLX,259043
Kohl&#8217;s,165,-9,19974,691,79500,Retailing,Menomonee Falls,WI,no,no,yes,yes,156,Michelle D. Gass,https://www.kohls.com,KSS,2265
Lear,166,-19,19810.3,753.6,164100,Motor Vehicles & Parts,Southfield,MI,no,no,no,yes,147,Raymond E. Scott,https://www.lear.com,LEA,10058
Altria Group,167,-5,19796,-1293,7300,"Food, Beverages & Tobacco",Richmond,VA,no,no,no,no,162,William F. Gifford Jr.,https://www.altria.com,MO,71863
Performance Food Group,168,8,19743.5,166.8,18000,Wholesalers,Richmond,VA,no,no,no,yes,176,George L. Holm,https://www.pfgc.com,PFGC,2896.7
Avnet,169,-4,19518.6,176.3,15500,Wholesalers,Phoenix,AZ,no,no,no,yes,165,Philip R. Gallagher,https://www.avnet.com,AVT,2505.9
Synchrony Financial,170,3,19461,3747,16500,Financials,Stamford,CT,no,no,yes,yes,173,Margaret M. Keane,https://www.synchronyfinancial.com,SYF,9870.8
Genuine Parts,171,-2,19392.3,621.1,55000,Wholesalers,Atlanta,GA,no,no,no,yes,169,Paul D. Donahue,https://www.genpt.com,GPC,14431
NextEra Energy,172,12,19204,3769,14800,Energy,Juno Beach,FL,no,no,no,yes,184,James L. Robo,https://www.nexteraenergy.com,NEE,164661
CarMax,173,1,19146,842.4,25946,Retailing,Richmond,VA,no,no,no,yes,174,William D. Nash,https://www.carmax.com,KMX,8795
Tenet Healthcare,174,-2,18479,-232,101104,Health Care,Dallas,TX,no,no,no,no,172,Ronald A. Rittenmeyer,https://www.tenethealth.com,THC,1501.8
Kimberly-Clark,175,-4,18450,2157,40000,Household Products,Irving,TX,no,no,no,yes,171,Michael D. Hsu,https://www.kimberly-clark.com,KMB,44691
Emerson Electric,176,2,18372,2306,88000,Industrials,St. Louis,MO,no,no,no,yes,178,Lal L. Karsanbhai,https://www.emerson.com,EMR,50469
WestRock,177,13,18289,862.9,51100,Materials,Atlanta,GA,no,no,no,yes,190,David B. Sewell,https://www.westrock.com,WRK,11971
CDW,178,13,18032.4,736.8,9900,Technology,Lincolnshire,IL,no,no,yes,yes,191,Christine A. Leahy,https://www.cdw.com,CDW,13316.3
Jones Lang LaSalle (JLL),179,10,17983.2,535.3,93400,Financials,Chicago,IL,no,no,no,yes,189,Christian Ulbrich,https://www.us.jll.com,JLL,7907
Sherwin-Williams,180,-3,17900.8,1541.3,61111,Chemicals,Cleveland,OH,no,no,no,yes,177,John G. Morikis,https://www.sherwin-williams.com,SHW,42185.8
Fluor,181,-17,17817.2,-1305,53349,Engineering & Construction,Irving,TX,no,no,no,no,164,David E. Constable,https://www.fluor.com,FLR,968.6
PayPal Holdings,182,22,17772,2459,23200,Business Services,San Jose,CA,no,no,no,yes,204,Daniel H. Schulman,https://www.paypal.com,PYPL,286198
